,Neighborhood,Borough,Town,Postcode,Latitude,Longitude
0,Abbey Wood,"Bexley, Greenwich ",London,SE2,51.492450000000076,0.12127000000003818
1,Acton,"Ealing, Hammersmith and Fulham",London,W3,51.51324000000005,-0.2674599999999714
2,Acton,"Ealing, Hammersmith and Fulham",London,W4,51.48944000000006,-0.26193999999992457
3,Aldgate,City,London,EC3,51.51200000000006,-0.08057999999994081
4,Aldwych,Westminster,London,WC2,51.51651000000004,-0.11967999999995982
5,Anerley,Bromley,London,SE20,51.41009000000008,-0.05682999999993399
6,Angel,Islington,London,EC1,51.523610000000076,-0.09876999999994496
7,Angel,Islington,London,N1,51.52969000000007,-0.08696999999995114
8,Archway,Islington,London,N19,51.56393000000003,-0.12944999999996298
9,Arnos Grove,Enfield,London,N11,51.616310000000055,-0.1383899999999585
10,Arnos Grove,Enfield,London,N14,51.63429000000008,-0.13365999999996347
11,Balham,Wandsworth,London,SW12,51.44822000000005,-0.1483899999999494
12,Bankside,Southwark,London,SE1,51.499960000000044,-0.09567999999995891
13,Barbican,City,London,EC1,51.523610000000076,-0.09876999999994496
14,Barbican,City,London,EC2,51.518410000000074,-0.08814999999992779
15,Barnes,Richmond upon Thames,London,SW13,51.47469000000007,-0.24162999999992962
16,Barnsbury,Islington,London,N1,51.52969000000007,-0.08696999999995114
17,Battersea,Wandsworth,London,SW11,51.46760000000006,-0.16289999999997917
18,Bayswater,Westminster,London,W2,51.51494000000008,-0.1804799999999318
19,Bedford Park,Ealing,London,W4,51.48944000000006,-0.26193999999992457
20,Belgravia,Westminster,London,SW1,51.49713000000003,-0.13828999999992675
21,Bellingham,Lewisham,London,SE6,51.43722000000008,-0.018679999999960728
22,Belsize Park,Camden,London,NW3,51.555060000000026,-0.1734799999999268
23,Bermondsey,Southwark,London,SE1,51.499960000000044,-0.09567999999995891
24,Bethnal Green,Tower Hamlets,London,E2,51.52669000000003,-0.06256999999993695
25,Blackfriars,City,London,EC4,51.51389000000006,-0.10433999999997923
26,Blackheath,Lewisham,London,SE3,51.47138000000007,0.023380000000031487
27,Blackheath Royal Standard,Greenwich,London,SE3,51.47138000000007,0.023380000000031487
28,Blackheath Royal Standard,Greenwich,London,SE12,51.44759000000005,0.013500000000021828
29,Blackwall,Tower Hamlets,London,E14,51.51122000000004,-0.012639999999976226
30,Bloomsbury,Camden,London,WC1,51.524500000000046,-0.12272999999993317
31,Bounds Green,Haringey,London,N11,51.616310000000055,-0.1383899999999585
32,Bounds Green,Haringey,London,N22,51.60214000000008,-0.11222999999995409
33,Bow,Tower Hamlets,London,E3,51.52702000000005,-0.02593999999993457
34,Bowes Park,Haringey,London,N22,51.60214000000008,-0.11222999999995409
35,Brent Cross,Barnet,London,NW2,51.562370000000044,-0.22130999999995993
